id,job_title,location,salary_currency,career_level,experience_level,education_level,employment_type,job_function,job_benefits,company_process_time,company_size,company_industry,job_description,salary
24,Internal Trainer & Researcher,Medan,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Sarjana (S1),Penuh Waktu,"Pendidikan/Pelatihan,Pelatihan & Pengembangan",,,,Ilmu Pengetahuan & Teknologi,"Persyaratan:Usia Maksimal 35 TahunMempunyai SIM CMempunyai motivasi untuk belajar software dan baru dan berkembangJujur dan Bertanggung jawabInisiatifSehat jasmani dan rohaniMempunyai komunikasi yang baikMengerti software khususnya php, asp.net, dllMempunyai pengalaman minimal 1 tahun sebagai trainer ataupun researcherMinimal lulusan S1Deskripsi Pekerjaan:Mempersiapkan materi training software internal kantorMembuat pelatihan untuk staff baru baik dari software yang digunakan dan SOP perusahaanMembuat penilaian atas pelatihan yang dilakukanMempelajari software baru agar dapat digunakan untuk pengembangan perusahaan agar lebih baikMembuat materi trainingMembuat event training online untuk peserta luar",
25,Field Operation Lead (EXIM),Jakarta Raya,IDR,Supervisor/Koordinator,3 tahun,Tidak terspesifikasi,Penuh Waktu,"Pelayanan,Logistik/Rantai Pasokan","Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",26 days,51 - 200 pekerja,Transportasi/Logistik,"Kualifikasi:Minimum 3 tahun pengalaman kerja di Bidang Operasi yang mengkhususkan diri dalam layanan Claim dan EXIM (FCL, LCL, Customs Clearance, dan Ocean Freight) di industri logistik/transportasiMemiliki pengalaman mengurus Export Import, Custom Clearance, dan Bea CukaiMemahami alur pengiriman barang menggunakan kontainerMemiliki pengalaman memilih kontainerMemiliki pengalaman memimpin timDeskripsi Pekerjaan:Mengawasi Tim Claim & EXIM Field OperationsSecara rutin membuat laporan perkembangan kepada Field Operation ManagerMengelola pembuatan dokumen yang dibutuhkan pada first mile, seperti: Kartu Kuning/Kartu Export, Nota Pelayaran Export (NPE), Pemberitahuan Export Barang (PEB), Laporan Pemeriksaan Bea Cukai, Customs Clearance Certificate of Origin, dan Health CertificateMenebus Bon Muat dan SealMemilih kontainer dan secara rutin memeriksa persediaan kontainer sesuai yang dibutuhkan Mengawasi proses pemuatan/bongkar muat",
26,Bancassurance Consultant (Cilegon),Cilegon,IDR,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan","Asuransi Gigi;Tunjangan Pendidikan;Tip;Asuransi kesehatan;Pinjaman;Penglihatan;Waktu regular, Senin - Jumat;Flexible Working Hour & Working From Anywhere;Smart Casual: Casual, Comfortable and Presentable",26 days,501 - 1000 pekerja,Asuransi,"Menjalin dan menjaga hubungan bisnis yang baik dengan nasabah bank rekanan dalam memberikan konsultasi perencanaan perlindungan serta tujuan finansial nasabah.Menciptakan hubungan yang produktif, bersinergi, dan efektif dengan seluruh pihak bank rekanan terkaitMemastikan seluruh proses bisnis berjalan sesuai dengan prosedur standar perusahaanMemenuhi performa kerja yang sudah ditargetkan perusahaanKualifikasi:Usia minimal 23 tahunPendidikan minimal Diploma 3Memiliki pengalaman minimal 1-2 tahun sebagai sales marketing bancassurance atau di perbankanMemiliki motivasi kerja yang tinggiMemiliki orientasi pada target dan berambisi untuk memenuhi targetPenempatan: Cilegon",
27,MARKETING COMMUNICATION & CHANNEL MANAGER,Jakarta Pusat,IDR,Manajer/Asisten Manajer,2 tahun,Tidak terspesifikasi,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis","Asuransi Gigi;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",29 days,51 - 200 pekerja,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)","SCOPE OF ROLE :To plan, develop, implement and measure Infracom Technology brand of marketing, communications activities, both external and internal, delivering measurable projects and campaigns on time, within budget and to a consistently high quality. All activity to have a measured output that is reported on.MAIN DUTIES & RESPONSIBILITIES:Develop Strategic Communications planning for promotion & dissemination of Corporate & Marketing content Manage the Corporate Branding by leading the Web team to design, create & adapt, improve and optimize web communication to ensure consistent Corporate branding and messaging across all relation and channelsImplement strategic direction of all marketing activities and priorities for all property of Infracom TechnologyDevelop other, relevant social media outlets to support and expand our digital presenceManage the Marketing & Communications budget and ensure programme milestones related to marketing & communications are achieved on time and within budget.",15000000.0
28,Store Supervisor Manado Town Square,Manado,IDR,Supervisor/Koordinator,2 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)",Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel","Tip;Asuransi kesehatan;BPJS;Smart Casual;Mon - Friday, Flexible working hours",4 days,501 - 1000 pekerja,Retail/Merchandise,"Responsible on the day to day operation of storeProvide customer service by greeting and assisting customers & responding to customer inquiries and complaintsAssist other store employees with their workCheck the products before the opening and closing of the storeResponsibilities for achieve sales and improve teamManages commercial and operational aspects in stores/assigned floor to achieve sales targetCompletes store operational requirements by schedulling and assigning employessProtects employees and customers by providing a safe and clean store environmentAssist job role of Store Manager REQUIREMENTS:Candidate must possess at least a Diploma/Bachelor's Degree, from any majorHaving experience minimum 2 years in Supervisory or Managerial role, in retail industry or retail fashion will be an advantageWilling to work under shifting schedule including weekend and public holiday (6 days work, 1 day off)Good communication in EnglishHigh energy, possess good customer service and drive in achieving sales targetStrong leadership, communication skills, and ability maintaining teamInterested in fashion or lifestyle brandGood communication skill",
29,Mechanic,Papua,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,Tidak terspesifikasi,Penuh Waktu,"Teknik,Mekanikal","Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi)",,51 - 200 pekerja,Automobil/Mesin Tambahan Automotif/Kendaraan,Kualifikasinya :Pendidikan Minimal SMK Jurusan Alat Berat atau Teknik Kendaraan RinganPengalaman minimal. 1 tahun maksimal. 3 tahun di truck / alat berat / Engine / Genset sebagai mekanikUsia maksimal 25 tahunBersedia melakukan perjalanan dinas dan juga mutasi bilamana dibutuhkan perusahaanBersedia ditempatkan di salah satu cabang perusahaan,5040000.0
30,Beauty Therapist (Eyelash Extension & Nail Art),Cikarang,IDR,Pegawai (non-manajemen & non-supervisor),1 tahun,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",Penuh Waktu,"Pelayanan,Perawatan Pribadi",,,,Perawatan/Kecantikan/Fitnes,"Kualifikasi:Maksimal 30 tahunJujur, komunikatif, ramah, mata sehat, sopanBerpengalaman di bidang Eyelash Extension dan Nail Art serta lulus TestDiutaman memiliki kendara Motor dan SIM CPenempatan di CikarangTugas dan Tanggung Jawab:Melakukan treatment eyelash extension & nail art sesuai SOPMelakukan treatment kecantikan lainnyaMampu berkomunikasi dengan baik, sopan dan ramah baik kepada Klien, Atasan dan rekan kerjaMenjaga peralatan dan kebersihan di dalam dan diluar lingkungan kerja",
31,Regional Agency Development (Makassar),Makassar,IDR,Manajer/Asisten Manajer,3 tahun,Sarjana (S1),Penuh Waktu,"Penjualan / Pemasaran,Penjualan - Jasa Keuangan","Asuransi Gigi;Tunjangan Pendidikan;Tip;Asuransi kesehatan;Pinjaman;Penglihatan;Waktu regular, Senin - Jumat;Flexible Working Hour & Working From Anywhere;Smart Casual: Casual, Comfortable and Presentable",26 days,501 - 1000 pekerja,Asuransi,"Tugas pekerjaan:Melakukan aktifitas perekrutan agent asuransi baruMemasarkan produk-produk asuransi jiwa Sinarmas MSIGMelakukan leaders meeting acitivity untuk memastikan proses pengembangan dan penjualan di tim berjalan dengan baikBekerja sama dengan tim training untuk melakukan kegiatan training sehingga para tenaga keagenan memiliki ketrampilan dan pengetahuan produk yang baik  Kualifikasi: Kandidat harus memiliki setidaknya Gelar Sarjana di bidang apapunSetidaknya memiliki 3 tahun pengalaman dalam bidang yang sesuai untuk posisi iniKemampuan yang harus dimiliki: Agency Sales Recruitment, Agency Development, Selling, Team BuildingLebih disukai individu yang memiliki pengalaman sebagai Agency Development Specialist, Agency Development Manager, Agency Recruitment SpecialistMemiliki pengetahuan yang baik akan dunia asuransi jiwa, produk-produk Asuransi Jiwa, serta sistem kompensasi pada Industri Asuransi Jiwa khususnya di distribusi keagenan",
32,PPIC,Tangerang,IDR,Manajer/Asisten Manajer,5 tahun,Sarjana (S1),Penuh Waktu,"Manufaktur,Manufaktur","Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)",21 days,201 - 500 pekerja,Manufaktur/Produksi,"Tanggung Jawab:Membuat perencanaan produksi berdasarkan Marketing Plan (Forecast)Memantau dan mengevaluasi kesiapan Raw Material untuk produksi berdasarkan Production Plan yang telah dibuat sebelumnyaMemantau dan mengevaluasi tingkat persediaan Raw MaterialMengontrol persediaan/ Stock Raw Material dan Finish GoodMenganalisa hasil produksi dan pemakaian Raw Material serta menjaga kestabilan StockMelakukan analisa Plan VS Real dari produksi serta rencana pengirimannyaMembuat permintaan/ request order Raw Material berdasarkan Production PlanMengatur dan memantau proses penerima, penyimpanan dan pendistribusian inventory di GudangPersyaratan:Pendidikan minimal S1Memiliki pengetahuan yang baik mengenai Warehouse Management, Inventory Control, Production Planning, Distribution Principle, ISO 9001:2015, K3Mahir dalam pengoperasian MS Office terutama Excel & AccurateMemiliki pengalaman di bidang PPIC minimal 5 tahun",6600000.0
33,Strategic Management Office Executive,Jakarta Selatan,IDR,Supervisor/Koordinator,3 tahun,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",Penuh Waktu,"Sumber Daya Manusia/Personalia,Top Management / Manajemen Tingkat Atas","Asuransi Gigi;Asuransi kesehatan;Waktu regular, Senin - Jumat;Formil (contoh: Kemeja + Dasi);Religious Allowance, Mid Year Allowance",29 days,1- 50 pekerja,Perbankan/Pelayanan Keuangan,"Responsibilities:Prepare annual work plans and budgetsPrepare company long-term plansEnsure the preparation of all department's work plans & budgetsMonitor the achievement of Company performancePrepare company performance reportsInvolved in various ad-hoc tasks assigned by managementRequirements:3-5 years experience in corporate strategy, strategic management office, project management office, corporate development, or similar functionPreferably from the financial service industryTechnical Skills Required: Strategic Management, Financial Management, Balanced Scorecard, Business Performance Management, Business Process Management, Data Analysis, Market Analysis, Quality Management System, Project Management, Logical Thinking, Problem Solving, Basic StatisticsProficient in MsExcel, MsPowerPoint, MsWordBachelor Degree",
34,"Technical Program Manager, Infosec",Jakarta Raya,IDR,Tidak Terspesifikasi,,Tidak terspesifikasi,,"Komputer/Teknologi Informasi,IT-Perangkat Lunak","Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos);Insurance, Gym Room, Play Room, Flexible Working Hours",28 days,2001 - 5000 pekerja,Komputer/Teknik Informatika (Perangkat Lunak),"About the RoleAs a Technical Program Manager (TPM) for the GoPay InfoSec team within our Information Security division, you’ll work with experts and be responsible for projects ranging from governance and risk management to operations and product security. This includes working with internal and external customers, across a variety of different technology stacks in several markets.What You Will DoManage the execution of multiple high complexity, technically-oriented projects in parallel.Build healthy project teams that are productive, efficient and fun to be part ofDevelop roadmaps that capture both short term milestones and the long term direction for each projectProactively address issues and communicate status for your team and your partners to bring projects in on time and within budgetIdentify and predict risks to projects across multiple teams and develop mitigation and contingency plans to address themIncorporate metrics into all stages and communications of projects to remove subjectivity and ensure data-driven decision-makingIdentify opportunities to help Gojek build a technology platform that is both a cutting edge competitive advantage and incredibly cost efficientWhat You Will NeedA track record of success working closely with customers (internal or external) to thoroughly understand their problem space, clearly articulate their requirements and facilitate the work to build their solutionsAn insatiable need for clarity - you are not phased by ambiguity and will push hard to ensure goals, milestones, roles, responsibilities, dependencies, risks, etc. are all crystal clear to everyone involvedExtraordinary communication skills - you have the ability to write and present ideas clearly, concisely and in an engaging manner. You are an active listener and have deep empathy for the people around youExceptional collaboration skills - you understand the importance of relationships, you know who is fully on board, who is not and why. You have the drive and the ability to build teams and coalitions. You ensure everyone feels they have been heard, drive alignment and inspire commitment to the goal.A strong drive for results - you understand the difference between activity and impact. You prioritize and measure success based on the scale of the contribution you can make. You’re expected to be a big-picture thinker and strategic partner but you’re also willing to get your hands dirty and do whatever it takes to help your team deliver high-quality work against tight deadlines.An impressive aptitude for technology - you have demonstrated expertise in multiple technology areas - e.g. mobile dev, web dev, machine learning, operations, security, etc. - and the ability to quickly understand new technologies. Experience has given you the ability to foresee edge cases in technical specs and identify risks before they become too painful to address.Previous experience in an information security role or desirable certifications like CISSP, CISM, CSSLP is a plus.About the TeamTechnical Program Management (TPM) is a new role within Gojek that will play a critical role in establishing shared engineering systems, fostering engineering excellence and a healthy engineering community across all of our products. TPMs are experienced technologists responsible for creating clarity, ensuring we’re working on the right things, driving execution and managing risks on critical projects that involve quite a bit of cross-group collaboration. The GoPay Infosec Team is responsible for the overall security of Gojek’s payment (e.g. GoPay and MidTrans) and business solutions (e.g. GoStore and Moka) offerings. This includes everything from governance, risk, compliance and devSecOps to data and product security.   -",
